Datetime,Close,High,Low,Open,Volume
2026-07-05 18:00:00-04:00,29946.0,29979.5,29860.75,29930.25,7959
2026-07-05 19:00:00-04:00,29983.75,30011.25,29901.75,29946.5,6704
2026-07-05 20:00:00-04:00,29928.25,30004.75,29845.0,29987.75,11654
2026-07-05 21:00:00-04:00,29792.75,29932.0,29750.0,29926.5,11361
2026-07-05 22:00:00-04:00,29725.25,29901.75,29683.0,29793.25,10053
2026-07-05 23:00:00-04:00,29718.75,29901.75,29693.25,29726.5,8432
2026-07-06 00:00:00-04:00,29828.25,29840.5,29703.0,29730.25,6073
2026-07-06 01:00:00-04:00,29790.5,29830.5,29752.5,29829.5,4029
2026-07-06 02:00:00-04:00,29847.25,29858.25,29754.75,29791.5,5157
2026-07-06 03:00:00-04:00,29852.5,29876.25,29816.25,29846.25,3582
2026-07-06 04:00:00-04:00,29867.0,29884.0,29780.0,29852.75,4668
2026-07-06 05:00:00-04:00,29877.0,29888.5,29827.5,29869.75,3442
2026-07-06 06:00:00-04:00,29884.5,29891.5,29847.25,29878.0,3091
2026-07-06 07:00:00-04:00,29877.75,29915.0,29841.75,29884.25,5845
2026-07-06 08:00:00-04:00,29934.0,29936.0,29865.5,29879.0,9279
2026-07-06 09:00:00-04:00,29932.5,30009.0,29776.25,29934.75,69434
2026-07-06 10:00:00-04:00,30025.25,30067.5,29903.25,29935.5,62489
2026-07-06 11:00:00-04:00,30074.25,30083.75,29941.25,30025.75,44660
2026-07-06 12:00:00-04:00,29990.0,30094.0,29981.0,30074.0,31501
2026-07-06 13:00:00-04:00,29896.75,30036.75,29882.25,29989.0,39481
2026-07-06 14:00:00-04:00,29990.0,30004.0,29895.5,29896.25,32137
2026-07-06 15:00:00-04:00,29951.0,30052.0,29931.5,29990.75,51173
2026-07-06 16:00:00-04:00,29947.75,29972.75,29931.25,29950.75,14257
2026-07-06 18:00:00-04:00,29894.75,29973.75,29889.0,29960.0,0
2026-07-06 19:00:00-04:00,29852.25,29928.75,29839.25,29893.5,6427
2026-07-06 20:00:00-04:00,29816.75,29914.25,29808.25,29851.0,10497
2026-07-06 21:00:00-04:00,29773.0,29835.75,29716.5,29819.75,10181
2026-07-06 22:00:00-04:00,29748.0,29819.25,29738.75,29774.25,6179
2026-07-06 23:00:00-04:00,29661.75,29784.75,29628.25,29748.0,10396
2026-07-07 00:00:00-04:00,29625.5,29669.75,29607.5,29666.25,6037
2026-07-07 01:00:00-04:00,29689.75,29704.5,29558.5,29626.25,8812
2026-07-07 02:00:00-04:00,29688.75,29701.25,29631.25,29688.75,6182
2026-07-07 03:00:00-04:00,29645.5,29744.0,29644.0,29689.0,8265
2026-07-07 04:00:00-04:00,29660.25,29709.25,29641.25,29646.75,5490
2026-07-07 05:00:00-04:00,29662.25,29693.5,29622.5,29660.75,5530
2026-07-07 06:00:00-04:00,29659.25,29689.5,29625.25,29663.25,9023
2026-07-07 07:00:00-04:00,29642.5,29661.75,29591.25,29660.5,6969
2026-07-07 08:00:00-04:00,29642.25,29716.0,29622.0,29640.75,12134
2026-07-07 09:00:00-04:00,29469.0,29685.75,29420.25,29642.25,87303
2026-07-07 10:00:00-04:00,29302.5,29505.75,29210.0,29468.75,99922
2026-07-07 11:00:00-04:00,29386.75,29389.25,29248.25,29302.25,54117
2026-07-07 12:00:00-04:00,29540.0,29558.25,29377.0,29388.0,56185
2026-07-07 13:00:00-04:00,29567.25,29580.75,29510.0,29539.5,35209
2026-07-07 14:00:00-04:00,29391.0,29574.25,29385.25,29567.5,40005
2026-07-07 15:00:00-04:00,29395.5,29410.0,29271.0,29390.25,65476
