Date,Close,High,Low,Open,Volume
2021-09-13,15486.669921875,15565.0,15315.25,15452.5,1505161
2021-09-20,15318.75,15347.0,14807.5,15284.0,3091742
2021-09-27,14761.75,15399.25,14537.0,15319.0,3392505
2021-10-04,14808.25,15001.25,14367.75,14785.0,3177735
2021-10-11,15134.5,15145.0,14585.5,14810.25,2533864
2021-10-18,15341.0,15483.75,15038.75,15145.0,2241985
2021-10-25,15838.5,15864.75,15295.75,15324.25,2559485
2021-11-01,16351.75,16448.5,15768.5,15885.25,2328377
2021-11-08,16192.75,16394.0,15896.5,16293.0,2490612
2021-11-15,16575.0,16628.5,16082.25,16212.25,2515517
2021-11-22,16051.0,16767.5,15988.0,16600.25,3665404
2021-11-29,15717.75,16456.25,15538.0,16046.5,4067031
2021-12-06,16329.75,16436.75,15559.25,15716.25,2792855
2021-12-13,15717.3203125,16459.25,15668.0,16321.75,1666479
2021-12-20,16299.0,16356.0,15492.0,15809.5,2032277
2021-12-27,16320.75,16659.5,16304.25,16304.25,1828905
2022-01-03,15581.0,16564.0,15510.0,16356.0,3460222
2022-01-10,15595.75,16009.25,15152.5,15590.0,3828323
2022-01-17,14426.5,15653.25,14408.5,15616.75,4253708
2022-01-24,14433.0,14639.75,13706.0,14410.0,4934319
2022-01-31,14685.5,15260.0,14353.25,14454.0,3392295
2022-02-07,14240.5,15068.0,14181.0,14682.5,3374515
2022-02-14,13996.0,14668.5,13906.25,14250.0,3278998
2022-02-21,14180.5,14196.25,13025.75,13952.75,4496550
2022-02-28,13839.75,14391.0,13683.0,13900.25,3350603
2022-03-07,13292.0,13879.75,13103.25,13763.5,3261046
2022-03-14,14095.3095703125,14136.25,12944.0,13362.0,1645997
2022-03-21,14755.75,14840.5,14183.75,14404.0,2720875
2022-03-28,14863.75,15268.75,14658.75,14756.0,2698406
2022-04-04,14327.0,15198.0,14310.5,14846.0,3092475
2022-04-11,13893.75,14382.0,13876.5,14345.0,2360392
2022-04-18,13353.5,14298.0,13297.0,13892.0,3070847
2022-04-25,12852.0,13583.75,12801.5,13334.25,3801921
2022-05-02,12695.75,13555.25,12519.0,12892.25,3859254
2022-05-09,12382.75,12637.25,11689.0,12605.0,4077537
2022-05-16,11840.75,12594.0,11491.25,12409.0,3646845
2022-05-23,12677.75,12720.25,11576.25,11866.0,3276614
2022-05-30,12551.0,12945.25,12442.5,12705.25,2787562
2022-06-06,11840.0,12810.0,11823.0,12549.75,3006108
2022-06-13,11130.3896484375,11772.5,11036.75,11768.0,2052535
2022-06-20,12140.5,12148.5,11273.75,11332.5,3221428
2022-06-27,11611.25,12262.0,11351.0,12137.5,3134142
2022-07-04,12152.0,12211.0,11389.25,11606.0,2631757
2022-07-11,12007.5,12149.75,11479.25,12149.75,3134095
2022-07-18,12423.5,12698.5,11857.0,12043.5,3022488
2022-07-25,12971.5,13012.0,12072.0,12444.5,2900465
2022-08-01,13228.75,13384.5,12814.75,12981.0,3217603
2022-08-08,13577.75,13583.25,12963.25,13227.75,2868418
2022-08-15,13268.5,13740.75,13228.75,13571.5,2779685
2022-08-22,12620.5,13226.5,12557.5,13226.5,2970979
2022-08-29,12104.25,12658.25,12017.75,12485.0,3819099
2022-09-05,12592.5,12613.75,11921.5,12110.5,2845617
2022-09-12,11814.580078125,12889.0,11750.5,12626.0,2103179
2022-09-19,11376.75,12140.5,11229.0,11920.0,3746068
2022-09-26,11035.5,11613.5,11024.25,11362.5,4318659
2022-10-03,11101.5,11729.75,10890.75,11030.0,3764410
2022-10-10,10744.0,11253.5,10484.75,11067.75,4216621
2022-10-17,11358.5,11431.75,10713.0,10720.0,3785335
