Date,Close,High,Low,Open,Volume
2024-09-12,468.3087158203125,469.12021274769836,462.004831315396,463.7861380430132,40067800
2024-09-13,470.40667724609375,471.5843292398022,467.34875045430647,467.57637427019046,29111800
2024-09-16,468.3284606933594,468.94202118034616,465.0132528878114,468.2789916995769,22585600
2024-09-17,468.57586669921875,472.6432267020708,466.08203143235426,471.3468249743636,30084400
2024-09-18,466.5471496582031,473.8604366394035,465.9434648552166,469.7733253245315,39909200
2024-09-19,478.34344482421875,481.18368396372693,475.50323588556273,477.60122868202563,52782500
2024-09-20,477.4330139160156,478.6700408299841,473.335966280543,477.4824829122334,34577700
2024-09-23,478.6985168457031,479.78863625808964,477.2714569319046,478.60932938150205,24843000
2024-09-24,481.0075378417969,481.9589009890899,475.85429307094455,480.10571320215763,25952600
2024-09-25,481.4534912109375,483.4057861989954,480.20480632461255,480.3831812388623,26549900
2024-09-26,485.0707092285156,489.26270143246154,481.4336813987619,488.935650492815,32020200
2024-09-27,482.3751525878906,486.23020427686686,481.1958457378582,486.0914480623736,22851100
2024-09-30,483.683349609375,484.0202901406472,478.5796426391889,481.4139231192811,30281100
2024-10-01,476.9444274902344,483.61395044024334,473.109215140219,483.31665887950265,42735400
2024-10-02,477.6183166503906,479.530962836938,473.42632437830656,476.0425807215539,23744000
2024-10-03,477.2615661621094,480.1949538329901,474.6849283697324,475.4281875265743,25337200
2024-10-04,482.9400329589844,483.49499732601123,478.054350472024,483.06886937334593,30686600
2024-10-07,477.7669982910156,482.19682413323716,476.548042370329,481.0274369696279,24975100
2024-10-08,484.90228271484375,485.5860835880583,479.5012840884385,480.3040015929436,28272000
2024-10-09,488.7176208496094,489.2924248153579,483.564375972424,484.6049266009383,24995000
2024-10-10,488.16265869140625,490.0257663240612,485.130164010439,486.43830727293584,25750400
2024-10-11,488.9257507324219,489.9465223032904,485.7644497271091,486.32930368033,20644500
2024-10-14,493.0285339355469,494.34656675942244,490.8086764455291,491.3140720656338,26060100
2024-10-15,486.4383239746094,494.0195609373264,484.2878142839425,493.35556948418406,34784500
2024-10-16,486.4977722167969,487.2707604745814,483.18779530560226,486.76533460642946,22996800
2024-10-17,486.8346862792969,492.02757992175697,486.7752279737182,491.978041414871,27210700
2024-10-18,490.0257873535156,491.1159067857121,488.8662898112495,489.61946873591097,25335000
2024-10-21,490.9672546386719,491.7699720639436,486.894178959246,488.81674495745733,30336500
2024-10-22,491.50238037109375,492.9790090488197,487.54825154691343,488.30143046324906,26685800
2024-10-23,483.9706726074219,489.80774860991164,480.69042485410046,489.1536769704334,39346600
2024-10-24,487.8951110839844,488.56899209054706,485.0409912405532,487.68697675640317,22024900
2024-10-25,490.8681640625,495.7835760452956,489.98614869868027,490.68978912710674,38762100
2024-10-28,490.94744873046875,494.03940202418397,490.65015716118575,493.97994371032735,20477800
2024-10-29,495.6646423339844,496.84394921613693,489.4113580647336,491.2645459528903,28014100
2024-10-30,491.9186096191406,495.85292901449105,491.43302334965017,494.9015658306743,29756000
2024-10-31,479.50128173828125,488.00415351011384,479.40217446492693,487.9546149950835,41245200
2024-11-01,483.049072265625,486.33924004761803,480.8391344021652,481.1364259666195,33655800
2024-11-04,481.641845703125,484.9815519553387,479.8976545652101,482.4445631601672,23291600
2024-11-05,487.7861328125,488.45012432937443,483.13828292426075,483.2274703978778,24353600
2024-11-06,501.0359191894531,501.8584762261197,495.10968577343385,496.0610489877298,43082200
2024-11-07,508.92431640625,509.70725465257993,503.77107179071777,503.83053009542596,32853100
2024-11-08,509.51904296875,510.29200105591366,507.8045506782223,508.42889322268616,22924500
2024-11-11,509.22174072265625,510.94609229061626,506.3279717617133,510.7379579512957,24167500
2024-11-12,508.3000183105469,510.0342895835151,505.24771417717085,509.1523347344934,25835300
2024-11-13,507.64599609375,510.3514400261562,505.36668014613633,507.7946721174008,24567400
2024-11-14,504.1180114746094,508.18113740505333,503.2062669199819,507.30907205086606,28679500
2024-11-15,492.1069030761719,498.80612454252906,490.04558089937717,498.41964553643646,51461100
2024-11-18,495.52587890625,497.62685004551037,492.2654707437731,493.652881689858,27080800
2024-11-19,498.93499755859375,499.42061410574536,492.6123348353257,492.94930559999926,24523000
2024-11-20,498.6476135253906,498.9548248827178,492.0970072679585,498.63769372570533,29565500
2024-11-21,500.44134521484375,502.4035299899302,493.088021478257,501.6900000053646,34526700
2024-11-22,501.2440490722656,501.9773883931018,498.2610927916357,499.8863672514566,23826600
2024-11-25,502.03680419921875,506.85313861746386,499.727759368047,505.3170517529333,26375200
2024-11-26,504.732421875,505.5549789384047,502.6711298031389,503.51346597969416,26557100
2024-11-27,500.7584228515625,503.67200096615676,497.4187167746415,503.6026531011734,24957400
2024-11-29,505.15850830078125,505.7531216213566,500.7683318681806,501.38275454356886,15334000
2024-12-02,510.65863037109375,511.6199436122003,506.03062055439545,506.417129810714,25147200
2024-12-03,512.2244262695312,512.5019386948712,508.7558838722561,509.3306878343324,18597900
2024-12-04,518.5570068359375,518.8146796626284,514.9298686374995,515.6434288103802,26086200
2024-12-05,517.1201171875,519.330055223799,516.7336078801881,518.6066356126173,18169600
2024-12-06,521.748046875,521.9858801083601,517.6551619389516,517.7839983547849,23762600
2024-12-09,517.6849365234375,521.6192257616104,516.5353285463648,520.8264281316256,20674400
2024-12-10,515.9210205078125,520.6580887147892,514.4939602620492,518.9138972492345,24350000
2024-12-11,525.1572265625,525.8410274761027,519.8751744986995,520.2814629318415,32168600
2024-12-12,521.7678833007812,524.2057949010591,521.2922168369533,522.9372703487448,23577500
2024-12-13,525.76171875,528.3779449247531,522.5607082907461,525.6923406392922,28780400
2024-12-16,533.3330078125,534.3042408794819,528.2094917796982,528.2887896903175,31979900
2024-12-17,530.9841918945312,532.6490847158486,529.329218870587,531.5391561683037,28579100
